task_key,family,task,evaluations,scored_units,dense_f1,proposed_f1,delta_f1,chunk_compression_mean,chunk_compression_minimum,chunk_compression_maximum,task_pass,ci95_low,ci95_high,bootstrap_p_one_sided,holm_adjusted_p,significant_positive_after_holm
BAMBOO/abshallu_16k,BAMBOO,abshallu_16k,200,200,0.5,0.5116279069767442,0.011627906976744207,0.5723384747122977,0.5420560747663552,0.65,True,-0.04892410535324546,0.07370714620865489,0.35766423357664234,1.0,False
BAMBOO/abshallu_4k,BAMBOO,abshallu_4k,200,200,0.5485714285714286,0.5257142857142857,-0.02285714285714291,0.5693462923674156,0.43661971830985913,0.65,False,-0.0782742612344815,0.03187013911148171,0.8036196380361964,1.0,False
BAMBOO/senhallu_16k,BAMBOO,senhallu_16k,200,200,0.7938144329896907,0.8,0.006185567010309367,0.5995336812246744,0.44525547445255476,0.65,True,-0.023180312545998564,0.036977513634238394,0.35876412358764126,1.0,False
BAMBOO/senhallu_4k,BAMBOO,senhallu_4k,200,200,0.6994535519125683,0.7213114754098361,0.021857923497267784,0.5927160251248914,0.5344827586206897,0.65,True,-0.006380745895375475,0.05352111388917316,0.06999300069993,1.0,False
ETHIC/Attributing,ETHIC,Attributing,333,333,0.04509816162266568,0.04680018862040161,0.001702026997735931,0.5879522017324789,0.5462555066079295,0.65,True,-0.0030198743913205832,0.006362759532715074,0.23427657234276572,1.0,False
ETHIC/Recalling,ETHIC,Recalling,662,662,0.069154587349224,0.06750431274483772,-0.0016502746043862843,0.6027046958943904,0.44842105263157894,0.65,False,-0.003421048564857106,1.8725941010196815e-05,0.9737026297370263,1.0,False
HELMET/kilt_hotpotqa,HELMET,kilt_hotpotqa,2961,2961,0.4156742381759514,0.4348571729995237,0.019182934823572306,0.5827254305977622,0.44999999999999996,0.65,True,0.011093796575454631,0.027313252380881385,9.999000099990002e-05,0.007099290070992901,True
HELMET/kilt_popqa_3,HELMET,kilt_popqa_3,882,882,0.6098800103902152,0.5989482676557507,-0.010931742734464511,0.5792517006802751,0.55,0.65,False,-0.02501187808160592,0.0032765577047040033,0.934006599340066,1.0,False
LongTableBench/32k_multi_csv,LongTableBench,32k_multi_csv,61,181,0.43399072639309316,0.4566191302660449,0.02262840387295173,0.5827003852296467,0.4499274310595065,0.65,True,-0.007194798049964242,0.0581159335414238,0.07539246075392461,1.0,False
LongTableBench/32k_multi_html,LongTableBench,32k_multi_html,61,181,0.47186002003441335,0.47159493827761895,-0.00026508175679440527,0.5821542011656178,0.4499274310595065,0.65,False,-0.03489532164893,0.03418591271413855,0.502049795020498,1.0,False
LongTableBench/32k_multi_json,LongTableBench,32k_multi_json,61,181,0.4617159171017092,0.44892980818300354,-0.01278610891870563,0.5827003852296467,0.4499274310595065,0.65,False,-0.04426006661423321,0.017735046998315202,0.781021897810219,1.0,False
LongTableBench/32k_multi_latex,LongTableBench,32k_multi_latex,61,181,0.4424948987094203,0.47653697695039343,0.034042078240973106,0.5827003852296467,0.4499274310595065,0.65,True,-0.0027135109415766423,0.07768000597018887,0.037396260373962605,1.0,False
LongTableBench/32k_multi_markdown,LongTableBench,32k_multi_markdown,61,181,0.4430061431433164,0.44600575249651697,0.002999609353200594,0.5821542011656172,0.4499274310595065,0.65,True,-0.026222191879676088,0.03320431009300962,0.42895710428957107,1.0,False
LongTableBench/32k_multi_sql,LongTableBench,32k_multi_sql,61,181,0.42690649693317295,0.4314662598093069,0.004559762876133966,0.582154201165617,0.4499274310595065,0.65,True,-0.032628739805431545,0.04387218537871448,0.4046595340465953,1.0,False
LongTableBench/32k_multi_xml,LongTableBench,32k_multi_xml,61,181,0.5166315048902255,0.5060881194849616,-0.010543385405263894,0.5821542011656174,0.4499274310595065,0.65,False,-0.045837679294383246,0.02746471286562518,0.7227277272272773,1.0,False
LongTableBench/32k_single_csv,LongTableBench,32k_single_csv,166,166,0.45267737617135206,0.47652992924077264,0.02385255306942058,0.5766680794391403,0.4285714285714286,0.65,True,-0.005364672977624786,0.055379016064257,0.05829417058294171,1.0,False
LongTableBench/32k_single_html,LongTableBench,32k_single_html,166,166,0.4371151271753681,0.46989386115892134,0.03277873398355324,0.5766464033444045,0.4285714285714286,0.65,True,0.006472556894243617,0.06366513673742581,0.0059994000599940004,0.7839216078392162,False
LongTableBench/32k_single_json,LongTableBench,32k_single_json,166,166,0.4302686938229108,0.44556320520175946,0.015294511378848685,0.57666807943914,0.4285714285714286,0.65,True,-0.01385876840696124,0.047824631860776456,0.1611838816118388,1.0,False
LongTableBench/32k_single_latex,LongTableBench,32k_single_latex,166,166,0.46595486173799433,0.4777400979208208,0.011785236182826453,0.577262004434898,0.4285714285714286,0.65,True,-0.019741824440619695,0.04344042838018747,0.2313768623137686,1.0,False
